,Unnamed: 0,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
52,52,2023-07-06T17:12:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/7/6/21/59/VU207150371310_2_1688663570,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Jul  6 2023  5:12PM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
56,56,2023-07-15T17:12:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/7/15/17/12/VU207150371310_2_1689441150,,0.0,238,Device,,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,Jul 15 2023  5:12PM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
64,64,2023-07-15T18:56:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/7/15/18/57/VU207150371310_2_1689447419,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jul 15 2023  6:56PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
68,68,2023-08-31T04:38:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/8/31/4/38/VU207150371310_2_1693456725,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Aug 31 2023  4:38AM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
76,76,2023-10-30T16:01:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/10/30/16/1/VU207150371310_2_1698681692,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT ,Oct 30 2023  4:01PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
80,80,2023-11-01T22:23:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/11/1/22/23/VU207150371310_2_1698877425,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT ,Nov  1 2023 10:23PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
84,84,2023-11-11T08:36:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/11/11/8/36/VU207150371310_2_1699691779,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Nov 11 2023  8:36AM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
90,90,2023-12-14T16:19:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/12/14/16/19/VU207150371310_2_1702570780,,0.0,122,Device,,RUN CAPACITY LIMITED-LOW EVAP REFRIG TEMP,Dec 14 2023  4:19PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
92,92,2023-12-15T22:42:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/12/15/22/42/VU207150371310_2_1702680156,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT ,Dec 15 2023 10:42PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
98,98,2023-12-20T07:33:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/12/20/7/33/VU207150371310_2_1703057617,,0.0,230,Device,,PROTECTIVE LIMIT-LOW CONDENSER WATER FLOW,Dec 20 2023  7:33AM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
104,104,2023-12-20T09:49:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/12/20/9/49/VU207150371310_2_1703065750,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Dec 20 2023  9:49AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
106,1,2024-01-03T19:04:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2024/1/3/19/4/VU207150371310_2_1704308677,,0.0,122,Device,,RUN CAPACITY LIMITED-LOW EVAP REFRIG TEMP,Jan  3 2024  7:04PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2024,5200Q64908,,America/Phoenix
